ISO-3166,Country,Continent,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate (per 100)
LKA,Sri Lanka,Asia,12/13/20,7.873054,80.771797,32790,152,23793,8845,1531.294875836223,0.0007098408695550652
SDN,Sudan,Africa,12/13/20,12.8628,30.2176,21591,1347,12313,7931,492.39133268105337,0.0030718870136694867
SUR,Suriname,South America,12/13/20,3.9193,-56.0278,5353,117,5224,12,9124.939911426885,0.019944292352642362
SWE,Sweden,Europe,12/13/20,60.128161,18.643501,320098,7514,0,312584,15670.446445045713,0.036784901682632654
CHE,Switzerland,Europe,12/13/20,46.8182,8.2275,373831,6235,291500,76096,43194.3963326862,0.07204246334153629
SYR,Syria,Asia,12/13/20,34.802075,38.996815,9166,518,4376,4272,523.7517654337206,0.00295988887731472
TWN,Taiwan*,Asia,12/13/20,23.7,121.0,736,7,606,123,30.902588616636805,2.939104895604044e-05
TJK,Tajikistan,Asia,12/13/20,38.861,71.2761,12857,87,12133,637,1348.0271119423437,0.0009121751476937382
TZA,Tanzania,Africa,12/13/20,-6.369028,34.888822,509,21,183,305,8.52107987092757,3.515573227691139e-05
THA,Thailand,Asia,12/13/20,15.870032,100.992541,4209,60,3940,209,60.30087860486145,8.595991248020164e-05
TLS,Timor-Leste,Asia,12/13/20,-8.874217,125.727539,31,0,30,1,23.512600478443495,0.0
TGO,Togo,Africa,12/13/20,8.6195,0.8248,3251,66,2771,414,392.6927501139364,0.0007972230546760936
TTO,Trinidad and Tobago,North America,12/13/20,10.6918,-61.2225,6879,122,6145,612,4915.3585124877545,0.008717455131901527
TUN,Tunisia,Africa,12/13/20,33.886917,9.537499,111361,3894,84741,22726,9422.50608319856,0.03294801473404081
TUR,Turkey,Europe,12/13/20,38.9637,35.2433,1836728,16417,1603780,216531,21777.902760057805,0.01946547499748841
USA,US,North America,12/13/20,40.0,-100.0,16441925,302831,6298082,9841012,16538.923986437745,0.03046175487199296
UGA,Uganda,Africa,12/13/20,1.373333,32.290275,27532,221,9826,17485,601.9107584005596,0.00048315515620559233
UKR,Ukraine,Europe,12/13/20,48.3794,31.1656,918444,15691,520912,381841,10246.51048507852,0.017505476220800294
ARE,United Arab Emirates,Asia,12/13/20,23.424076,53.847818,184949,617,163679,20653,18699.850359944998,0.006238372563293699
GBR,United Kingdom,Europe,12/13/20,336.368394,-630.330056,1854353,83785,4016,1766552,13732.45034046365,0.06204715886218788
URY,Uruguay,South America,12/13/20,-32.5228,-55.7658,9708,92,6358,3258,2794.692847192655,0.002648452224368812
UZB,Uzbekistan,Asia,12/13/20,41.377491,64.585262,74956,612,72243,2101,2239.5516546422277,0.001828546897701376
VUT,Vanuatu,Oceania,12/13/20,-15.3767,166.9592,1,0,1,0,3.4167008336750033,0.0
VEN,Venezuela,South America,12/13/20,6.4238,-66.5897,107786,954,102289,4543,3790.484458349069,0.003354908961520988
VNM,Vietnam,Asia,12/13/20,14.058324,108.277199,1397,35,1241,121,14.351965653742875,3.595696477315681e-05
PSE,West Bank and Gaza,Asia,12/13/20,31.9522,35.2332,109738,978,85110,23650,21511.282357682652,0.019171147775441173
YEM,Yemen,Asia,12/13/20,15.552727,48.516388,2083,606,1383,94,69.8384709592661,0.0020317865291077895
ZMB,Zambia,Africa,12/13/20,-13.133897,27.849332,18274,367,17388,519,994.0189151888745,0.001996305909348347
ZWE,Zimbabwe,Africa,12/13/20,-19.015438,29.154857,11246,307,9451,1488,756.6477316345563,0.002065542002594778
